"","reads.in","reads.out"
"CC_1_38_S119_L001_R1_001.fastq.gz",56672,19182
"CC_1_38W_S155_L001_R1_001.fastq.gz",52221,18054
"CC_1_4_S146_L001_R1_001.fastq.gz",33879,11253
"CC_1_6W_S269_L001_R1_001.fastq.gz",20924,7036
"CC_1_7W_S1_L001_R1_001.fastq.gz",25536,8470
"CC_1_8W_S85_L001_R1_001.fastq.gz",6712,2172
"CC_1_9W_S258_L001_R1_001.fastq.gz",48828,16242
"CC_2_10W_S86_L001_R1_001.fastq.gz",8355,2692
"CC_2_11W_S75_L001_R1_001.fastq.gz",13413,4563
"CC_2_12W_S259_L001_R1_001.fastq.gz",18724,6027
"CC_2_13W_S64_L001_R1_001.fastq.gz",11631,3901
"CC_2_14W_S53_L001_R1_001.fastq.gz",12036,3810
"CC_2_15W_S42_L001_R1_001.fastq.gz",17229,5661
"CC_2_16W_S248_L001_R1_001.fastq.gz",15863,5229
"CC_2_17W_S31_L001_R1_001.fastq.gz",10105,3410
"CC_2_18W_S20_L001_R1_001.fastq.gz",9674,3163
"CC_2_19W_S9_L001_R1_001.fastq.gz",9729,3241
"CC_2_2_S109_L001_R1_001.fastq.gz",40934,13690
"CC_2_20_S135_L001_R1_001.fastq.gz",34260,11380
"CC_2_20W_S93_L001_R1_001.fastq.gz",8999,2881
"CC_2_21_S112_L001_R1_001.fastq.gz",37672,12430
"CC_2_21W_S237_L001_R1_001.fastq.gz",39396,13074
"CC_2_22W_S82_L001_R1_001.fastq.gz",16633,5508
"CC_2_25_S125_L001_R1_001.fastq.gz",23166,8128
"CC_2_28_S102_L001_R1_001.fastq.gz",18357,5982
"CC_2_28W_S274_L001_R1_001.fastq.gz",42627,14300
"CC_2_29_S174_L001_R1_001.fastq.gz",38915,12727
"CC_2_29W_S253_L001_R1_001.fastq.gz",38522,13073
"CC_2_3_S181_L001_R1_001.fastq.gz",7104,2312
"CC_2_30_S151_L001_R1_001.fastq.gz",31087,10325
"CC_2_30W_S242_L001_R1_001.fastq.gz",29119,9493
"CC_2_31_S128_L001_R1_001.fastq.gz",26764,8909
"CC_2_31W_S263_L001_R1_001.fastq.gz",70974,23763
"CC_2_32_S105_L001_R1_001.fastq.gz",25010,8636
"CC_2_32W_S231_L001_R1_001.fastq.gz",23846,7977
"CC_2_33_S141_L001_R1_001.fastq.gz",63471,21410
"CC_2_33W_S279_L001_R1_001.fastq.gz",26271,8734
"CC_2_34_S177_L001_R1_001.fastq.gz",57046,19103
"CC_2_34W_S252_L001_R1_001.fastq.gz",36457,12620
"CC_2_35_S118_L001_R1_001.fastq.gz",43711,14785
"CC_2_35W_S232_L001_R1_001.fastq.gz",14614,5005
"CC_2_36_S154_L001_R1_001.fastq.gz",47292,16053
"CC_2_36W_S108_L001_R1_001.fastq.gz",23590,7885
"CC_2_37_S190_L001_R1_001.fastq.gz",31039,10932
"CC_2_37W_S233_L001_R1_001.fastq.gz",22742,7744
"CC_2_38_S131_L001_R1_001.fastq.gz",29669,9864
"CC_2_38W_S167_L001_R1_001.fastq.gz",43369,14514
"CC_2_4_S158_L001_R1_001.fastq.gz",57443,19134
"CC_2_6W_S120_L001_R1_001.fastq.gz",40919,13457
"CC_2_7W_S13_L001_R1_001.fastq.gz",9716,3287
"CC_2_8W_S2_L001_R1_001.fastq.gz",26522,8762
"CC_2_9W_S270_L001_R1_001.fastq.gz",25063,8325
"CC_3_10W_S3_L001_R1_001.fastq.gz",11343,3885
"CC_3_11W_S87_L001_R1_001.fastq.gz",10374,3428
"CC_3_12W_S271_L001_R1_001.fastq.gz",12693,4216
"CC_3_13W_S76_L001_R1_001.fastq.gz",13077,4397
"CC_3_14W_S65_L001_R1_001.fastq.gz",8148,2673
"CC_3_15W_S54_L001_R1_001.fastq.gz",14357,4636
"CC_3_16W_S260_L001_R1_001.fastq.gz",25305,8576
"CC_3_17W_S43_L001_R1_001.fastq.gz",22082,7353
"CC_3_18W_S32_L001_R1_001.fastq.gz",13920,4528
"CC_3_19W_S21_L001_R1_001.fastq.gz",9795,3205
"CC_3_2_S121_L001_R1_001.fastq.gz",31613,10542
"CC_3_20_S147_L001_R1_001.fastq.gz",26706,8957
"CC_3_20W_S10_L001_R1_001.fastq.gz",13180,4406
"CC_3_21_S124_L001_R1_001.fastq.gz",17189,5753
"CC_3_21W_S249_L001_R1_001.fastq.gz",24192,7885
"CC_3_22W_S94_L001_R1_001.fastq.gz",11729,4072
"CC_3_25_S137_L001_R1_001.fastq.gz",26480,9073
"CC_3_28_S114_L001_R1_001.fastq.gz",29970,10098
"CC_3_28W_S180_L001_R1_001.fastq.gz",53934,17952
"CC_3_29_S186_L001_R1_001.fastq.gz",21057,7132
"CC_3_29W_S265_L001_R1_001.fastq.gz",62827,21692
"CC_3_3_S98_L001_R1_001.fastq.gz",31247,10568
"CC_3_30_S163_L001_R1_001.fastq.gz",26475,8938
"CC_3_30W_S254_L001_R1_001.fastq.gz",43375,14756
"CC_3_31_S140_L001_R1_001.fastq.gz",36819,12276
"CC_3_31W_S275_L001_R1_001.fastq.gz",40450,13492
"CC_3_32_S117_L001_R1_001.fastq.gz",43242,14622
"CC_3_32W_S243_L001_R1_001.fastq.gz",18294,6224
"CC_3_33_S153_L001_R1_001.fastq.gz",46023,15264
"CC_3_33W_S196_L001_R1_001.fastq.gz",45607,15268
"CC_3_34_S189_L001_R1_001.fastq.gz",40332,13477
"CC_3_34W_S264_L001_R1_001.fastq.gz",40364,13538
"CC_3_35_S130_L001_R1_001.fastq.gz",24971,8397
"CC_3_35W_S244_L001_R1_001.fastq.gz",21893,7245
"CC_3_36_S166_L001_R1_001.fastq.gz",36910,12458
"CC_3_36W_S197_L001_R1_001.fastq.gz",43403,15097
"CC_3_37_S107_L001_R1_001.fastq.gz",24023,8128
"CC_3_37W_S245_L001_R1_001.fastq.gz",18496,6117
"CC_3_38_S143_L001_R1_001.fastq.gz",40522,13623
"CC_3_38W_S179_L001_R1_001.fastq.gz",68468,22290
"CC_3_4_S170_L001_R1_001.fastq.gz",17528,6084
"CC_3_6W_S198_L001_R1_001.fastq.gz",37770,12517
"CC_3_7W_S25_L001_R1_001.fastq.gz",10358,3403
"CC_3_8W_S14_L001_R1_001.fastq.gz",8363,2774
"CC_3_9W_S132_L001_R1_001.fastq.gz",33900,11130
"INF10_S15_L001_R1_001.fastq.gz",10459,3439
"INF11_S4_L001_R1_001.fastq.gz",17631,5890
"INF12_S224_L001_R1_001.fastq.gz",17968,5684
"INF13_S88_L001_R1_001.fastq.gz",12418,4093
"INF14_S77_L001_R1_001.fastq.gz",8224,2733
"INF15_S66_L001_R1_001.fastq.gz",12818,3999
"INF16_S213_L001_R1_001.fastq.gz",51063,16823
"INF17_S55_L001_R1_001.fastq.gz",15350,5177
"INF18_S44_L001_R1_001.fastq.gz",22273,7322
"INF19_S33_L001_R1_001.fastq.gz",12866,4246
"INF20_S22_L001_R1_001.fastq.gz",9588,3222
"INF21_S202_L001_R1_001.fastq.gz",13873,4373
"INF22_S11_L001_R1_001.fastq.gz",20028,6533
"INF23W_S59_L001_R1_001.fastq.gz",21931,6980
"INF24_S250_L001_R1_001.fastq.gz",25131,8237
"INF25_S12_L001_R1_001.fastq.gz",12153,4036
"INF26_S60_L001_R1_001.fastq.gz",20622,6720
"INF27_S193_L001_R1_001.fastq.gz",38469,12810
"INF28_S239_L001_R1_001.fastq.gz",40563,13637
"INF29_S277_L001_R1_001.fastq.gz",3870,1259
"INF30_S266_L001_R1_001.fastq.gz",23288,7621
"INF31_S228_L001_R1_001.fastq.gz",31199,10194
"INF32_S255_L001_R1_001.fastq.gz",39930,12953
"INF33_S208_L001_R1_001.fastq.gz",31598,10277
"INF34_S276_L001_R1_001.fastq.gz",28299,8982
"INF35_S256_L001_R1_001.fastq.gz",28545,9506
"INF36_S209_L001_R1_001.fastq.gz",29297,9949
"INF37_S257_L001_R1_001.fastq.gz",32910,11026
"INF38_S191_L001_R1_001.fastq.gz",37630,12908
"INF6_S246_L001_R1_001.fastq.gz",20439,6749
"INF7_S73_L001_R1_001.fastq.gz",7059,2309
"INF8_S26_L001_R1_001.fastq.gz",10228,3459
"INF9_S235_L001_R1_001.fastq.gz",13289,4177
"WC_4_10W_S27_L001_R1_001.fastq.gz",8761,3055
"WC_4_11W_S16_L001_R1_001.fastq.gz",13683,4694
"WC_4_12W_S144_L001_R1_001.fastq.gz",15003,5045
"WC_4_13W_S5_L001_R1_001.fastq.gz",8935,2944
"WC_4_14W_S89_L001_R1_001.fastq.gz",8779,2914
"WC_4_15W_S78_L001_R1_001.fastq.gz",11103,3679
"WC_4_16W_S272_L001_R1_001.fastq.gz",24864,8183
"WC_4_17W_S67_L001_R1_001.fastq.gz",12114,4110
"WC_4_18W_S56_L001_R1_001.fastq.gz",14119,4652
"WC_4_19W_S45_L001_R1_001.fastq.gz",22554,7353
"WC_4_2_S133_L001_R1_001.fastq.gz",29818,10046
"WC_4_20_S159_L001_R1_001.fastq.gz",59674,20046
"WC_4_20W_S34_L001_R1_001.fastq.gz",12807,4389
"WC_4_21_S136_L001_R1_001.fastq.gz",20056,6742
"WC_4_21W_S261_L001_R1_001.fastq.gz",43313,14618
"WC_4_22W_S23_L001_R1_001.fastq.gz",11681,3849
"WC_4_23W_S71_L001_R1_001.fastq.gz",16326,5253
"WC_4_24_S172_L001_R1_001.fastq.gz",30794,10660
"WC_4_24W_S214_L001_R1_001.fastq.gz",55570,18147
"WC_4_25W_S24_L001_R1_001.fastq.gz",14537,4873
"WC_4_26W_S72_L001_R1_001.fastq.gz",16018,5304
"WC_4_27_S149_L001_R1_001.fastq.gz",26161,8797
"WC_4_27W_S205_L001_R1_001.fastq.gz",33718,11105
"WC_4_28_S126_L001_R1_001.fastq.gz",25806,8666
"WC_4_28W_S203_L001_R1_001.fastq.gz",14756,4949
"WC_4_29_S103_L001_R1_001.fastq.gz",25340,8466
"WC_4_29W_S194_L001_R1_001.fastq.gz",41601,13800
"WC_4_3_S110_L001_R1_001.fastq.gz",26658,9275
"WC_4_30_S175_L001_R1_001.fastq.gz",48438,16164
"WC_4_30W_S278_L001_R1_001.fastq.gz",23583,7817
"WC_4_31_S152_L001_R1_001.fastq.gz",43497,14540
"WC_4_31W_S192_L001_R1_001.fastq.gz",39556,13159
"WC_4_4_S182_L001_R1_001.fastq.gz",15653,5157
"WC_4_6W_S210_L001_R1_001.fastq.gz",56724,19079
"WC_4_7W_S37_L001_R1_001.fastq.gz",17951,5919
"WC_4_8W_S38_L001_R1_001.fastq.gz",18689,6408
"WC_4_9W_S199_L001_R1_001.fastq.gz",29526,9960
"WC_5_10W_S39_L001_R1_001.fastq.gz",17523,6088
"WC_5_11W_S28_L001_R1_001.fastq.gz",11622,3964
"WC_5_12W_S200_L001_R1_001.fastq.gz",17487,5974
"WC_5_13W_S17_L001_R1_001.fastq.gz",11853,4003
"WC_5_14W_S6_L001_R1_001.fastq.gz",11537,3814
"WC_5_15W_S90_L001_R1_001.fastq.gz",11630,3873
"WC_5_16W_S156_L001_R1_001.fastq.gz",46735,16557
"WC_5_17W_S79_L001_R1_001.fastq.gz",13507,4620
"WC_5_18W_S68_L001_R1_001.fastq.gz",4509,1491
"WC_5_19W_S57_L001_R1_001.fastq.gz",15284,5075
"WC_5_2_S145_L001_R1_001.fastq.gz",30953,10900
"WC_5_20_S171_L001_R1_001.fastq.gz",26334,8859
"WC_5_20W_S46_L001_R1_001.fastq.gz",25292,8453
"WC_5_21_S148_L001_R1_001.fastq.gz",29568,9730
"WC_5_21W_S273_L001_R1_001.fastq.gz",40868,13636
"WC_5_22W_S35_L001_R1_001.fastq.gz",23634,7762
"WC_5_23W_S83_L001_R1_001.fastq.gz",17644,5756
"WC_5_24_S184_L001_R1_001.fastq.gz",14677,4953
"WC_5_24W_S226_L001_R1_001.fastq.gz",32251,10633
"WC_5_25W_S36_L001_R1_001.fastq.gz",11441,3815
"WC_5_26W_S84_L001_R1_001.fastq.gz",20915,6894
"WC_5_27_S161_L001_R1_001.fastq.gz",69797,23414
"WC_5_27W_S217_L001_R1_001.fastq.gz",32710,10762
"WC_5_28_S138_L001_R1_001.fastq.gz",30834,10454
"WC_5_28W_S215_L001_R1_001.fastq.gz",74632,24815
"WC_5_29_S115_L001_R1_001.fastq.gz",45908,15485
"WC_5_29W_S206_L001_R1_001.fastq.gz",19863,6530
"WC_5_3_S122_L001_R1_001.fastq.gz",23013,7723
"WC_5_30_S187_L001_R1_001.fastq.gz",28354,9477
"WC_5_30W_S195_L001_R1_001.fastq.gz",82619,27477
"WC_5_31_S164_L001_R1_001.fastq.gz",39382,13229
"WC_5_31W_S204_L001_R1_001.fastq.gz",7718,2585
"WC_5_4_S99_L001_R1_001.fastq.gz",44929,14975
"WC_5_6W_S222_L001_R1_001.fastq.gz",23068,7692
"WC_5_7W_S49_L001_R1_001.fastq.gz",19811,6639
"WC_5_8W_S50_L001_R1_001.fastq.gz",15154,5097
"WC_5_9W_S211_L001_R1_001.fastq.gz",47897,16091
"WC_6_10W_S51_L001_R1_001.fastq.gz",16406,5446
"WC_6_11W_S40_L001_R1_001.fastq.gz",17413,5885
"WC_6_12W_S212_L001_R1_001.fastq.gz",23452,7898
"WC_6_13W_S29_L001_R1_001.fastq.gz",9920,3371
"WC_6_14W_S18_L001_R1_001.fastq.gz",13547,4499
"WC_6_15W_S7_L001_R1_001.fastq.gz",10396,3354
"WC_6_16W_S201_L001_R1_001.fastq.gz",16059,5281
"WC_6_17W_S91_L001_R1_001.fastq.gz",13497,4558
"WC_6_18W_S80_L001_R1_001.fastq.gz",16782,5563
"WC_6_19W_S69_L001_R1_001.fastq.gz",11312,3847
"WC_6_2_S157_L001_R1_001.fastq.gz",60236,19650
"WC_6_20_S183_L001_R1_001.fastq.gz",14746,4938
"WC_6_20W_S58_L001_R1_001.fastq.gz",20525,6782
"WC_6_21_S160_L001_R1_001.fastq.gz",57715,19113
"WC_6_21W_S168_L001_R1_001.fastq.gz",41898,13892
"WC_6_22W_S47_L001_R1_001.fastq.gz",25440,8270
"WC_6_23W_S95_L001_R1_001.fastq.gz",12987,4204
"WC_6_24_S101_L001_R1_001.fastq.gz",21195,7144
"WC_6_24W_S238_L001_R1_001.fastq.gz",37226,11943
"WC_6_25W_S48_L001_R1_001.fastq.gz",21143,6843
"WC_6_26W_S96_L001_R1_001.fastq.gz",10606,3557
"WC_6_27_S173_L001_R1_001.fastq.gz",30678,10283
"WC_6_27W_S229_L001_R1_001.fastq.gz",16434,5433
"WC_6_28_S150_L001_R1_001.fastq.gz",33313,11061
"WC_6_28W_S227_L001_R1_001.fastq.gz",16121,5304
"WC_6_29_S127_L001_R1_001.fastq.gz",25595,8681
"WC_6_29W_S218_L001_R1_001.fastq.gz",23248,7880
"WC_6_3_S134_L001_R1_001.fastq.gz",23238,7895
"WC_6_30_S104_L001_R1_001.fastq.gz",23577,7919
"WC_6_30W_S207_L001_R1_001.fastq.gz",45718,15332
"WC_6_31_S176_L001_R1_001.fastq.gz",53671,18004
"WC_6_31W_S216_L001_R1_001.fastq.gz",22452,7474
"WC_6_4_S111_L001_R1_001.fastq.gz",39540,13324
"WC_6_6W_S234_L001_R1_001.fastq.gz",13749,4484
"WC_6_7W_S61_L001_R1_001.fastq.gz",17060,5751
"WC_6_8W_S62_L001_R1_001.fastq.gz",9184,3077
"WC_6_9W_S223_L001_R1_001.fastq.gz",20558,6854
