"","reads.in","reads.out"
"CC_1_10W_S74_L001_R1_001.fastq.gz",17030,5741
"CC_1_11W_S63_L001_R1_001.fastq.gz",11872,3836
"CC_1_12W_S247_L001_R1_001.fastq.gz",14880,5071
"CC_1_13W_S52_L001_R1_001.fastq.gz",15894,5310
"CC_1_14W_S41_L001_R1_001.fastq.gz",5603,1916
"CC_1_15W_S30_L001_R1_001.fastq.gz",9334,3038
"CC_1_16W_S236_L001_R1_001.fastq.gz",31390,10200
"CC_1_17W_S19_L001_R1_001.fastq.gz",26483,8725
"CC_1_18W_S8_L001_R1_001.fastq.gz",14676,4818
"CC_1_19W_S92_L001_R1_001.fastq.gz",15745,5199
"CC_1_2_S97_L001_R1_001.fastq.gz",15687,5266
"CC_1_20_S123_L001_R1_001.fastq.gz",20626,6864
"CC_1_20W_S81_L001_R1_001.fastq.gz",14639,4840
"CC_1_21_S100_L001_R1_001.fastq.gz",25132,8492
"CC_1_21W_S225_L001_R1_001.fastq.gz",38520,13068
"CC_1_22W_S70_L001_R1_001.fastq.gz",15438,5016
"CC_1_25_S113_L001_R1_001.fastq.gz",25615,8869
"CC_1_28_S185_L001_R1_001.fastq.gz",15373,5222
"CC_1_28W_S262_L001_R1_001.fastq.gz",54129,18521
"CC_1_29_S162_L001_R1_001.fastq.gz",27065,9017
"CC_1_29W_S241_L001_R1_001.fastq.gz",29883,10011
"CC_1_3_S169_L001_R1_001.fastq.gz",10596,3582
"CC_1_30_S139_L001_R1_001.fastq.gz",19665,6544
"CC_1_30W_S230_L001_R1_001.fastq.gz",23472,7883
"CC_1_31_S116_L001_R1_001.fastq.gz",32894,10992
"CC_1_31W_S251_L001_R1_001.fastq.gz",34250,11931
"CC_1_32_S188_L001_R1_001.fastq.gz",17306,5794
"CC_1_32W_S219_L001_R1_001.fastq.gz",16468,5647
"CC_1_33_S129_L001_R1_001.fastq.gz",38062,12829
"CC_1_33W_S267_L001_R1_001.fastq.gz",18732,6314
"CC_1_34_S165_L001_R1_001.fastq.gz",47161,16139
"CC_1_34W_S240_L001_R1_001.fastq.gz",42546,14056
"CC_1_35_S106_L001_R1_001.fastq.gz",25057,8510
"CC_1_35W_S220_L001_R1_001.fastq.gz",19259,6781
"CC_1_36_S142_L001_R1_001.fastq.gz",32012,11341
"CC_1_36W_S268_L001_R1_001.fastq.gz",23920,7768
"CC_1_37_S178_L001_R1_001.fastq.gz",49515,16404
"CC_1_37W_S221_L001_R1_001.fastq.gz",10143,3485
