data_collected,sample_ID,bioreactor_ID,influent_id,NOx_conc,NO2_conc,NO3_conc,Ammonia_ammonia_conc,DRP_conc,TOC_conc,pH,DO_conc
4/28/23,influent,NA,1,31.482,0.0012,31.481,0.0107,0.088,0.9222,6.531,8.35
4/28/23,CC,1,1,22.664,3.208,19.456,0.8292,0.154,75.24,4.987,8.42
4/28/23,CC,2,1,31.642,13.9163,17.7257,1.5321,0.172,96.2,4.903,8.57
4/28/23,CC,3,1,28.779,0.0422,28.737,2.2977,0.977,192.2,4.571,8.67
4/28/23,WC,4,1,24.533,15.2019,9.3311,0.3726,0.572,68.32,5.743,6.03
4/28/23,WC,5,1,20.052,0.9344,19.1176,0.0755,0.737,90.16,5.486,6.13
4/28/23,WC,6,1,24.476,3.1072,21.3688,1.3422,0.596,64.08,5.686,7.89
5/5/23,influent,NA,2,10.017,0.0308,9.986,0.0107,0.02,0.8115,6.292,8.41
5/5/23,CC,1,2,5.557,4.2136,1.3434,0.7169,ND,29.88,5.344,6.6
5/5/23,CC,2,2,0.005,0.0037,0.0013,0.5772,0.002,37.048,6.624,3.55
5/5/23,CC,3,2,7.618,5.8852,1.7328,1.7838,0.002,44.16,5.615,4.68
5/5/23,WC,4,2,7.553,2.287,5.266,0.4528,ND,14.804,6.588,3.79
5/5/23,WC,5,2,7.55,2.3128,5.2372,0.3457,ND,16.964,6.454,3.97
5/5/23,WC,6,2,7.133,3.3963,3.7367,0.3461,ND,16.062,6.537,7.1
5/12/23,influent,NA,3,1.78,0.0183,1.762,0.0301,0.005,0.8407,7.039,8.66
5/12/23,CC,1,3,ND,0.0035,ND,0.0172,0.003,32.03,4.832,6.13
5/12/23,CC,2,3,ND,0.002,ND,0.0164,0.003,31.15,5.278,1.61
5/12/23,CC,3,3,ND,0.0051,ND,0.2547,0.006,40.3,5.073,3.23
5/12/23,WC,4,3,ND,0.0019,ND,0.1402,ND,11.23,6.718,3.71
5/12/23,WC,5,3,0.019,0.002,0.017,0.0088,ND,12.13,6.897,8.45
5/12/23,WC,6,3,ND,0.0018,ND,0.0488,0.003,15.46,6.623,6.75
5/19/23,influent,NA,4,1.695,0.0003,1.694,0.0082,0.003,0.8769,6.222,8.47
5/19/23,CC,1,4,ND,0.0006,ND,0.0143,ND,16.17,4.878,7.16
5/19/23,CC,2,4,ND,0.0013,ND,0.0129,ND,24.39,5.077,5.77
5/19/23,CC,3,4,ND,0.0008,ND,0.0128,ND,17.75,4.97,4.14
5/19/23,WC,4,4,ND,0.0014,ND,0.0578,ND,8.502,6.65,5.05
5/19/23,WC,5,4,0.004,0.0016,0.0024,0.0041,ND,10.16,6.313,2.08
5/19/23,WC,6,4,ND,0.0052,ND,0.0093,ND,14.97,6.585,6.5
5/26/23,influent,NA,5,13.875,0.0058,13.869,0.0269,0.022,0.9196,7.48,6.36
5/26/23,CC,1,5,6.133,0.1718,5.962,0.1591,0.002,20.75,4.982,6.36
5/26/23,CC,2,5,1.738,0.0074,1.73,0.0056,0.002,17.55,5.855,3.36
5/26/23,CC,3,5,6.264,0.0483,6.216,0.2768,0.003,23.04,4.97,6.02
5/26/23,WC,4,5,5.829,0.0175,5.812,0.0065,0.002,9.757,6.674,1.22
5/26/23,WC,5,5,3.797,0.0155,3.782,0.013,0.002,14.04,6.569,0.85
5/26/23,WC,6,5,4.635,0.0524,4.582,0.0222,0.002,11.26,6.648,6.96
6/23/23,influent,NA,6,29.123,0.0027,29.12,ND,0.06,0.9138,7.053,9.04
6/23/23,CC,1,6,14.823,0.1901,14.633,0.17,ND,30.41,6.769,7.8
6/23/23,CC,2,6,14.869,0.0235,14.846,0.0584,ND,16.05,7.169,8.48
6/23/23,CC,3,6,19.83,0.2245,19.605,0.1169,ND,12.56,7.053,7.29
6/23/23,WC,4,6,25.099,0.0483,25.05,ND,0.012,9.018,6.962,7.49
6/23/23,WC,5,6,24.215,0.0162,24.199,0.0151,0.002,9.925,6.971,7.4
6/23/23,WC,6,6,25.114,0.0321,25.082,ND,0.039,9.498,7.116,8.03
6/30/23,influent,NA,7,26.922,0.011,26.911,0.0081,0.052,1.344,6.882,8.11
6/30/23,CC,1,7,10.258,0.0124,10.246,0.0375,ND,28.83,7.044,8.52
6/30/23,CC,2,7,15.86,0.0237,15.836,0.1424,0.002,17.77,7.155,8.03
6/30/23,CC,3,7,20.182,0.2254,19.956,0.3678,ND,14.06,7.061,7.08
6/30/23,WC,4,7,26.333,0.0545,26.278,ND,0.015,103.39,6.952,7.84
6/30/23,WC,5,7,25.182,0.0167,25.165,0.0549,ND,9.376,6.952,7.9
6/30/23,WC,6,7,24.913,0.0932,24.82,ND,0.015,9.114,6.986,8
7/5/23,influent,NA,8,30.292,0.0078,30.284,0.0246,0.044,2.332,6.969,8.59
7/5/23,CC,1,8,9.274,0.0169,9.257,0.1023,0.003,48.7,7.063,7.57
